Event,SwimmerName,Time,Cut
100 Fly,Boyd Poelke,44.94,USNTL
100 Fly,Felix Jedbratt,44.97,NCAA B
100 Fly,Tommy Palmer,45.00,NCAA B
100 Fly,Rafael Gu,45.02,NCAA B
100 Fly,Aaron Sequeira,45.07,NCAA B
100 Fly,Colin Geer,45.10,USNTL
100 Fly,Brady Samuels,45.10,NCAA B
100 Fly,Bjorn Kammann,45.12,USNTL
100 Fly,Will Hayon,45.12,USNTL
100 Fly,Dylan Smiley,45.20,USNTL
100 Fly,Jacob Johnson,45.21,USNTL
100 Fly,Gal COHEN GROUMI,45.29,USNTL
100 Fly,Alex Santiago,45.30,NCAA B
100 Fly,Dalton Lowe,45.30,USNTL
100 Fly,Matthew Klinge,45.39,USNTL
100 Fly,Michal Chmielewski,45.40,NCAA B
100 Fly,Sam Bork,45.42,NCAA B
100 Fly,Martin Espernberger,45.43,USNTL
100 Fly,Kuba Kwaśny,45.50,NCAA B
100 Fly,Jordan Tiffany,45.52,USNTL
100 Fly,Rian Graham,45.53,USNTL
100 Fly,Sonny Wang,45.53,NCAA B
100 Fly,aidan paro,45.55,USNTL
100 Fly,Seb Lunak,45.56,USNTL
100 Fly,Sebastian Smith,45.60,NCAA B
100 Fly,Vili Sivec,45.61,NCAA B
200 Fly,Luca Urlando,97.17,NCAA A
200 Fly,Ilya Kharun,98.74,NCAA A
200 Fly,Andrei Minakov,99.03,NCAA A
200 Fly,Josh Liendo,99.14,NCAA A
200 Fly,Martin Espernberger,99.34,NCAA A
200 Fly,Dare Rose,99.47,NCAA A
200 Fly,Colin Geer,99.58,NCAA A
200 Fly,Jake Magahey,99.91,NCAA A
200 Fly,Gabriel Jett,100.06,NCAA B
200 Fly,Seb Lunak,100.12,USNTL
200 Fly,Bjorn Kammann,100.18,USNTL
200 Fly,Logan Robinson,100.34,NCAA B
200 Fly,Frank Applebaum,100.39,NCAA B
200 Fly,Mitchell Schott,100.42,NCAA B
200 Fly,Danny Schmidt,100.43,NCAA B
200 Fly,Jacob Johnson,100.47,USNTL
200 Fly,David Schmitt,100.52,NCAA B
200 Fly,Haakon Naughton,100.55,NCAA B
200 Fly,Tyler Ray,100.55,USNTL
200 Fly,Krzysztof Chmielewski,100.72,NCAA B
200 Fly,Ryan Merani,100.82,USNTL
200 Fly,Ryan BRANON,100.89,USNTL
200 Fly,Tomer Frankel,100.94,USNTL
200 Fly,Logan Walker,101.01,USNTL
200 Fly,Cooper Lucas,101.08,USNTL
200 Fly,Drew Hitchcock,101.09,NCAA B
200 Fly,Landon Gentry,101.10,USNTL
200 Fly,Jan Zubik,101.14,NCAA B
200 Fly,Michal Chmielewski,101.18,NCAA B
200 Fly,Charlie Jones,101.29,NCAA B
200 Fly,Colin Whelehan,101.45,USNTL
200 Fly,Saldo Saldo,101.65,USNTL
200 Fly,Diego Nosack,101.66,USNTL
200 Fly,Gibson Holmes,101.79,NCAA B
200 Fly,Gregg Enoch,101.81,USNTL
200 Fly,Tommy Bried,101.93,USNTL
200 Fly,Patrick Hussey,101.94,USNTL
200 Fly,Hayden Bellotti,101.97,USNTL
200 Fly,Coby Carrozza,101.99,USNTL
200 Fly,Arthur Balva,101.99,NCAA B
200 Fly,Joshua Zuchowski,102.04,NCAA B
200 Fly,Filip Senc-Samardzic,102.08,NCAA B
200 Fly,Matt Fenlon,102.11,NCAA B
200 Fly,Mason Mathias,102.14,NCAA B
200 Fly,Henry McFadden,102.20,NCAA B
